quarter,industry,op_margin,net_margin,roe,n
2019Q1,健康護理,,8.2067,14.9992,239
2019Q1,公用事業,16.4574,9.5394,13.0549,61
2019Q1,原物料,,10.3225,14.3673,112
2019Q1,工業,7.6148,7.8031,20.0614,255
2019Q1,必需消費,,2.7319,13.146,69
2019Q1,房地產,,21.5756,8.0013,144
2019Q1,能源,4.7826,4.553,11.2089,68
2019Q1,資訊科技,10.5943,16.3547,30.2232,157
2019Q1,通訊服務,13.9398,8.5886,11.4523,80
2019Q1,金融,,13.7454,9.7643,157
2019Q1,非必需消費,5.2111,6.4977,34.0943,167
2019Q2,健康護理,,8.4811,15.1833,238
2019Q2,公用事業,16.9331,9.6822,12.9201,61
2019Q2,原物料,,7.747,12.4705,112
2019Q2,工業,7.6711,7.0562,18.2695,254
2019Q2,必需消費,,3.1586,15.1621,69
2019Q2,房地產,,22.18,8.0268,144
2019Q2,能源,5.2478,5.1293,12.4917,69
2019Q2,資訊科技,10.3017,16.3097,30.1525,158
2019Q2,通訊服務,13.9866,8.0491,10.6515,81
2019Q2,金融,,14.0171,9.8747,159
2019Q2,非必需消費,5.1116,6.3558,32.5706,168
2019Q3,健康護理,,7.4221,13.3458,240
2019Q3,公用事業,17.3094,10.0231,13.1235,59
2019Q3,原物料,,7.5398,12.1742,112
2019Q3,工業,7.8051,6.7551,17.3277,254
2019Q3,必需消費,,2.4931,12.3925,70
2019Q3,房地產,,21.1278,7.658,144
2019Q3,能源,4.5254,4.0863,10.2689,69
2019Q3,資訊科技,10.0925,16.4472,28.9741,158
2019Q3,通訊服務,13.9839,9.0351,11.9351,81
2019Q3,金融,,13.4902,9.2494,159
2019Q3,非必需消費,4.9856,6.0489,31.1694,169
2019Q4,健康護理,6.7712,9.1798,17.0668,406
2019Q4,公用事業,18.6827,12.1226,11.286,100
2019Q4,原物料,7.7791,5.9673,9.938,155
2019Q4,工業,8.152,6.6077,16.4105,346
2019Q4,必需消費,4.8044,3.327,16.1354,97
2019Q4,房地產,15.9523,18.5352,8.0678,222
2019Q4,能源,1.9323,1.7393,2.8295,117
2019Q4,資訊科技,10.8772,16.2305,26.8174,290
2019Q4,通訊服務,16.3845,10.9571,12.5524,117
2019Q4,金融,,19.8722,11.4177,342
2019Q4,非必需消費,6.6596,5.2584,26.6881,222
2020Q1,健康護理,6.5531,8.6196,16.0763,401
2020Q1,公用事業,17.6338,10.1582,9.5773,100
2020Q1,原物料,7.1357,5.2755,8.9119,156
2020Q1,工業,5.7281,4.4811,11.9321,343
2020Q1,必需消費,4.7624,3.3864,17.1501,96
2020Q1,房地產,15.3561,16.8666,7.1816,220
2020Q1,能源,-2.9823,-4.772,-8.4416,118
2020Q1,資訊科技,11.0252,16.1712,27.2791,288
2020Q1,通訊服務,16.7967,10.8341,12.6873,119
2020Q1,金融,,14.0795,8.5999,330
2020Q1,非必需消費,5.3656,3.7303,20.2806,221
2020Q2,健康護理,6.4067,8.0801,14.1851,394
2020Q2,公用事業,17.9634,10.2178,9.2414,100
2020Q2,原物料,7.9722,5.375,8.7961,153
2020Q2,工業,3.6031,2.6178,6.2881,342
2020Q2,必需消費,4.7431,3.3997,16.9823,96
2020Q2,房地產,14.3181,13.082,5.3501,219
2020Q2,能源,-6.1189,-11.7059,-18.8954,118
2020Q2,資訊科技,11.2377,15.9715,26.545,285
2020Q2,通訊服務,16.4271,10.1774,11.2678,116
2020Q2,金融,,12.0451,6.8709,324
2020Q2,非必需消費,4.5166,2.9086,14.4009,221
2020Q3,健康護理,6.2828,7.7743,13.5692,389
2020Q3,公用事業,17.4167,10.1724,9.0028,99
2020Q3,原物料,7.8629,5.3632,8.4759,152
2020Q3,工業,2.1832,1.9459,4.7664,341
2020Q3,必需消費,4.6681,3.686,18.2709,96
2020Q3,房地產,13.9617,11.2636,4.4486,218
2020Q3,能源,-8.4264,-15.0419,-22.5709,117
2020Q3,資訊科技,11.3642,16.072,26.7549,283
2020Q3,通訊服務,16.3685,9.2405,10.0563,114
2020Q3,金融,,13.1088,7.248,324
2020Q3,非必需消費,4.9426,3.1833,14.3735,219
2020Q4,健康護理,6.2052,6.6125,11.7836,450
2020Q4,公用事業,17.5539,9.3795,7.8596,102
2020Q4,原物料,8.6975,6.9145,10.6223,161
2020Q4,工業,1.14,0.4165,0.9219,352
2020Q4,必需消費,4.6565,3.2543,16.4105,99
2020Q4,房地產,12.5427,8.6272,3.3499,220
2020Q4,能源,-9.8793,-19.3753,-26.7422,118
2020Q4,資訊科技,11.178,16.053,25.4803,324
2020Q4,通訊服務,15.6372,8.1345,8.8383,126
2020Q4,金融,,14.4305,7.8222,339
2020Q4,非必需消費,4.7408,3.0973,13.5237,230
2021Q1,健康護理,6.5361,7.0933,12.2319,438
2021Q1,公用事業,18.4013,11.6225,10.3481,101
2021Q1,原物料,10.0789,9.0898,13.881,159
2021Q1,工業,3.5447,2.1504,4.9644,344
2021Q1,必需消費,4.9486,3.3244,16.9199,98
2021Q1,房地產,13.7403,10.7172,4.1458,216
2021Q1,能源,-2.9453,-10.3437,-13.7895,119
2021Q1,資訊科技,11.3256,17.1776,27.9566,315
2021Q1,通訊服務,17.3226,10.6098,11.5074,121
2021Q1,金融,,21.8415,12.5046,347
2021Q1,非必需消費,6.7274,5.0361,21.7253,222
2021Q2,健康護理,6.5379,7.3657,13.8746,433
2021Q2,公用事業,17.1693,11.1775,10.3526,101
2021Q2,原物料,10.2169,10.906,17.2276,155
2021Q2,工業,6.0634,4.4914,10.5404,336
2021Q2,必需消費,5.6049,3.5794,17.2744,90
2021Q2,房地產,15.3054,14.1702,5.6614,215
2021Q2,能源,-0.4024,-2.34,-3.751,117
2021Q2,資訊科技,7.0273,15.6338,26.7871,302
2021Q2,通訊服務,19.6089,14.09,15.2791,117
2021Q2,金融,,25.3917,14.542,347
2021Q2,非必需消費,7.9975,6.3,27.4591,217
2021Q3,健康護理,7.0792,8.2315,15.5794,426
2021Q3,公用事業,15.5607,10.1561,9.8037,98
2021Q3,原物料,11.8049,12.2007,20.4484,150
2021Q3,工業,7.4363,4.7504,11.0685,316
2021Q3,必需消費,6.3029,3.8725,17.6976,81
2021Q3,房地產,15.43,16.4001,6.6799,215
2021Q3,能源,1.015,1.483,2.7154,116
2021Q3,資訊科技,10.1918,11.215,14.988,288
2021Q3,通訊服務,21.0984,16.3367,18.525,115
2021Q3,金融,,24.9493,14.5431,341
2021Q3,非必需消費,8.0719,6.3817,27.0064,207
2021Q4,健康護理,7.7377,9.8029,18.0467,471
2021Q4,公用事業,14.2447,9.4164,9.4244,101
2021Q4,原物料,12.0577,12.3908,22.0157,152
2021Q4,工業,8.6457,6.6163,14.8128,329
2021Q4,必需消費,6.1671,4.5935,21.0074,85
2021Q4,房地產,15.5348,18.2978,7.3424,231
2021Q4,能源,3.1603,7.2847,14.6509,119
2021Q4,通訊服務,22.1949,18.1333,21.1429,128
2021Q4,金融,,25.744,15.7659,369
2021Q4,非必需消費,8.1828,18.9937,77.2864,227
2022Q1,健康護理,7.1011,9.0115,17.4458,467
2022Q1,公用事業,13.4874,9.0817,9.6824,100
2022Q1,原物料,12.7418,12.4421,22.8743,151
2022Q1,工業,8.5719,6.5884,15.5555,330
2022Q1,必需消費,7.2502,5.3718,21.0601,82
2022Q1,房地產,15.2676,19.257,8.1323,229
2022Q1,能源,3.1838,8.0728,17.8003,117
2022Q1,通訊服務,21.8946,17.5021,20.6546,127
2022Q1,金融,,23.6214,15.2353,362
2022Q1,非必需消費,7.7976,17.9759,76.1555,226
2022Q2,健康護理,6.3049,8.5128,16.9497,461
2022Q2,公用事業,13.2879,9.2284,10.5325,100
2022Q2,原物料,12.7177,12.502,23.719,149
2022Q2,工業,8.6191,6.5946,16.3911,326
2022Q2,必需消費,6.7054,4.9987,20.6438,82
2022Q2,房地產,14.3523,18.3941,8.0054,229
2022Q2,能源,5.2208,10.5883,25.5905,117
2022Q2,通訊服務,20.584,15.888,19.2556,126
2022Q2,金融,,15.6676,10.8461,359
2022Q2,非必需消費,7.6403,17.0352,74.0944,223
2022Q3,健康護理,5.6494,7.6933,15.4617,454
2022Q3,公用事業,12.3602,8.2077,9.902,99
2022Q3,原物料,11.5855,11.3259,21.9954,147
2022Q3,工業,8.3602,6.4489,16.5842,326
2022Q3,必需消費,5.929,4.3357,18.9569,82
