date,index_name,close
2026-08-14,發行量加權股價指數,45811.01
2026-08-14,水泥窯製類指數,615.47
2026-08-14,塑膠化工類指數,1105.04
2026-08-14,機電類指數,16098.88
2026-08-14,水泥類指數,119.82
2026-08-14,食品類指數,1913.47
2026-08-14,塑膠類指數,346.83
2026-08-14,紡織纖維類指數,479.57
2026-08-14,電機機械類指數,552.23
2026-08-14,電器電纜類指數,110.9
2026-08-14,化學生技醫療類指數,175.74
2026-08-14,化學類指數,189.69
2026-08-14,生技醫療類指數,102.54
2026-08-14,玻璃陶瓷類指數,138.18
2026-08-14,造紙類指數,277.68
2026-08-14,鋼鐵類指數,119.72
2026-08-14,橡膠類指數,191.93
2026-08-14,汽車類指數,293.62
2026-08-14,電子工業類指數,2924.89
2026-08-14,半導體類指數,1539.15
2026-08-14,電腦及週邊設備類指數,465.79
2026-08-14,光電類指數,63.59
2026-08-14,通信網路類指數,237.45
2026-08-14,電子零組件類指數,945.87
2026-08-14,電子通路類指數,371.32
2026-08-14,資訊服務類指數,226.29
2026-08-14,其他電子類指數,286.1
2026-08-14,建材營造類指數,454.13
2026-08-14,航運類指數,194.49
2026-08-14,觀光餐旅類指數,99.76
2026-08-14,金融保險類指數,3196.52
2026-08-14,貿易百貨類指數,235.25
2026-08-14,油電燃氣類指數,96.69
2026-08-14,綠能環保類指數,133.38
2026-08-14,數位雲端類指數,41.44
2026-08-14,運動休閒類指數,59.2
2026-08-14,居家生活類指數,101.64
2026-08-14,其他類指數,280.26
2026-08-13,發行量加權股價指數,46021.48
2026-08-13,水泥窯製類指數,602.99
2026-08-13,塑膠化工類指數,1064.29
2026-08-13,機電類指數,16225.25
2026-08-13,水泥類指數,117.31
2026-08-13,食品類指數,1928.2
2026-08-13,塑膠類指數,323.69
2026-08-13,紡織纖維類指數,481.06
2026-08-13,電機機械類指數,555.37
2026-08-13,電器電纜類指數,111.1
2026-08-13,化學生技醫療類指數,175.08
2026-08-13,化學類指數,194.55
2026-08-13,生技醫療類指數,100.98
2026-08-13,玻璃陶瓷類指數,135.54
2026-08-13,造紙類指數,280.15
2026-08-13,鋼鐵類指數,122.71
2026-08-13,橡膠類指數,196.1
2026-08-13,汽車類指數,295.34
2026-08-13,電子工業類指數,2947.99
2026-08-13,半導體類指數,1561.75
2026-08-13,電腦及週邊設備類指數,459.48
2026-08-13,光電類指數,63.93
2026-08-13,通信網路類指數,237.35
2026-08-13,電子零組件類指數,933.79
